type,event_id,bin,dev_log,dev_se,total_effect_pct,name,start,attendance
Music,ev_26,pre1,-0.001566120572109967,0.08820096465720481,27.67220293572812,Tom Misch,2026-06-16 20:00:00,1821
Music,ev_26,during,-0.0020487691964634876,0.08702756523308201,10.992584227707791,Tom Misch,2026-06-16 20:00:00,1821
Music,ev_26,post1,0.0012300376071124129,0.08921057809553946,454.7627226558854,Tom Misch,2026-06-16 20:00:00,1821
Music,ev_26,post2,0.0024172593493042883,0.08945626957274651,373.60766879012016,Tom Misch,2026-06-16 20:00:00,1821
Music,ev_27,pre3,-0.00013275725545252112,0.08801342118821034,-8.395235234805664,Chezile - Wish You Were Here EU/UK Tour,2026-06-16 20:00:00,2343
Music,ev_27,pre2,5.398328347116048e-05,0.087987674607523,7.81718731593557,Chezile - Wish You Were Here EU/UK Tour,2026-06-16 20:00:00,2343
Music,ev_27,pre1,8.678538859443014e-05,0.08820515588611166,27.88340758360157,Chezile - Wish You Were Here EU/UK Tour,2026-06-16 20:00:00,2343
Music,ev_27,during,-0.001920064809914026,0.08703998195312466,11.006870379497835,Chezile - Wish You Were Here EU/UK Tour,2026-06-16 20:00:00,2343
Music,ev_27,post1,0.0041956973545168134,0.08921505313824697,456.41040215257584,Chezile - Wish You Were Here EU/UK Tour,2026-06-16 20:00:00,2343
Music,ev_27,post2,0.003471457653058396,0.08946075236993763,374.1072084518726,Chezile - Wish You Were Here EU/UK Tour,2026-06-16 20:00:00,2343
Arts & Theatre,ev_28,pre3,-0.004725509355690026,0.09306282354085463,128.913067342542,Cirque du Soleil ALIZÉ,2026-06-17 19:30:00,841
Arts & Theatre,ev_28,pre2,-0.002994286428301677,0.09299080219024636,148.04287587327875,Cirque du Soleil ALIZÉ,2026-06-17 19:30:00,841
Arts & Theatre,ev_28,pre1,-0.002249426602783293,0.09333807386770127,147.2277851439579,Cirque du Soleil ALIZÉ,2026-06-17 19:30:00,841
Arts & Theatre,ev_28,during,-0.004598290663772828,0.10313594779665546,109.63831550582563,Cirque du Soleil ALIZÉ,2026-06-17 19:30:00,841
Arts & Theatre,ev_28,post1,-0.0029163443357988744,0.09403436024180742,296.95982852906286,Cirque du Soleil ALIZÉ,2026-06-17 19:30:00,841
